,S_KP,S_KI,S_KD,T_KP,T_KI,T_KD,loss_T,loss_S
6764,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.4,0.18364378373538195,0.0011947439226355086
6765,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.5,0.18377849417900013,0.0011947439226355086
6766,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.6000000000000001,0.18406049021968268,0.0011947439226355086
6767,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.7000000000000001,0.18448293154799233,0.0011947439226355086
6768,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.8,0.18471470846036586,0.0011947439226355086
6769,0.0,0.0,0.6000000000000001,0.7000000000000001,0.6000000000000001,0.9,0.1847514811195399,0.0011947439226355086
6770,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.0,0.1834702687801041,0.0011947439226355086
6771,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.1,0.1835362119796808,0.0011947439226355086
6772,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.2,0.1835753662435774,0.0011947439226355086
6773,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.30000000000000004,0.18362513143403061,0.0011947439226355086
6774,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.4,0.18361514296907144,0.0011947439226355086
6775,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.5,0.1836832219072309,0.0011947439226355086
6776,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.6000000000000001,0.18386526085847635,0.0011947439226355086
6777,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.18414891903679528,0.0011947439226355086
6778,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.8,0.18454830170840492,0.0011947439226355086
6779,0.0,0.0,0.6000000000000001,0.7000000000000001,0.7000000000000001,0.9,0.1847335206532643,0.0011947439226355086
6780,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.0,0.18347965724030416,0.0011947439226355086
6781,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.1,0.18355456425928882,0.0011947439226355086
6782,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.2,0.1836046102033018,0.0011947439226355086
6783,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.30000000000000004,0.18362672118196566,0.0011947439226355086
6784,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.4,0.1836585159826817,0.0011947439226355086
6785,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.5,0.183676001725838,0.0011947439226355086
6786,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.6000000000000001,0.18374285671006274,0.0011947439226355086
6787,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.7000000000000001,0.18393120826280368,0.0011947439226355086
6788,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.8,0.18424912930502538,0.0011947439226355086
6789,0.0,0.0,0.6000000000000001,0.7000000000000001,0.8,0.9,0.18461044546359084,0.0011947439226355086
6790,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.0,0.18350785913139536,0.0011947439226355086
6791,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.1,0.18357444041420318,0.0011947439226355086
6792,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.2,0.18362301108497828,0.0011947439226355086
6793,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.30000000000000004,0.1836236561231014,0.0011947439226355086
6794,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.4,0.18367308632299087,0.0011947439226355086
6795,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.5,0.18369297883318805,0.0011947439226355086
6796,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.6000000000000001,0.18371684494914428,0.0011947439226355086
6797,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.7000000000000001,0.1838226880265882,0.0011947439226355086
6798,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.8,0.18398563078133634,0.0011947439226355086
6799,0.0,0.0,0.6000000000000001,0.7000000000000001,0.9,0.9,0.18432576307615503,0.0011947439226355086
6800,0.0,0.0,0.6000000000000001,0.8,0.0,0.0,0.1836427612474111,0.0011947439226355086
6801,0.0,0.0,0.6000000000000001,0.8,0.0,0.1,0.18396357655435103,0.0011947439226355086
6802,0.0,0.0,0.6000000000000001,0.8,0.0,0.2,0.18434217490605656,0.0011947439226355086
6803,0.0,0.0,0.6000000000000001,0.8,0.0,0.30000000000000004,0.18455792100904903,0.0011947439226355086
6804,0.0,0.0,0.6000000000000001,0.8,0.0,0.4,0.18482711208611755,0.0011947439226355086
6805,0.0,0.0,0.6000000000000001,0.8,0.0,0.5,0.18488342411703534,0.0011947439226355086
6806,0.0,0.0,0.6000000000000001,0.8,0.0,0.6000000000000001,0.18497744232827382,0.0011947439226355086
6807,0.0,0.0,0.6000000000000001,0.8,0.0,0.7000000000000001,0.18519837342193912,0.0011947439226355086
6808,0.0,0.0,0.6000000000000001,0.8,0.0,0.8,0.18563646288704147,0.0011947439226355086
6809,0.0,0.0,0.6000000000000001,0.8,0.0,0.9,0.18593522670144932,0.0011947439226355086
6810,0.0,0.0,0.6000000000000001,0.8,0.1,0.0,0.1835582241348329,0.0011947439226355086
6811,0.0,0.0,0.6000000000000001,0.8,0.1,0.1,0.18377720804976425,0.0011947439226355086
6812,0.0,0.0,0.6000000000000001,0.8,0.1,0.2,0.1841256286828273,0.0011947439226355086
6813,0.0,0.0,0.6000000000000001,0.8,0.1,0.30000000000000004,0.1844467145209133,0.0011947439226355086
6814,0.0,0.0,0.6000000000000001,0.8,0.1,0.4,0.18462537142748678,0.0011947439226355086
6815,0.0,0.0,0.6000000000000001,0.8,0.1,0.5,0.18484709014434908,0.0011947439226355086
6816,0.0,0.0,0.6000000000000001,0.8,0.1,0.6000000000000001,0.185029420729193,0.0011947439226355086
6817,0.0,0.0,0.6000000000000001,0.8,0.1,0.7000000000000001,0.1848446763215618,0.0011947439226355086
6818,0.0,0.0,0.6000000000000001,0.8,0.1,0.8,0.18481391918884824,0.0011947439226355086
6819,0.0,0.0,0.6000000000000001,0.8,0.1,0.9,0.18516545861021266,0.0011947439226355086
6820,0.0,0.0,0.6000000000000001,0.8,0.2,0.0,0.18351694769968024,0.0011947439226355086
6821,0.0,0.0,0.6000000000000001,0.8,0.2,0.1,0.18364440338373952,0.0011947439226355086
6822,0.0,0.0,0.6000000000000001,0.8,0.2,0.2,0.18388394783316434,0.0011947439226355086
6823,0.0,0.0,0.6000000000000001,0.8,0.2,0.30000000000000004,0.18424856136108428,0.0011947439226355086
6824,0.0,0.0,0.6000000000000001,0.8,0.2,0.4,0.18453268522937527,0.0011947439226355086
6825,0.0,0.0,0.6000000000000001,0.8,0.2,0.5,0.18465838424114575,0.0011947439226355086
6826,0.0,0.0,0.6000000000000001,0.8,0.2,0.6000000000000001,0.18485958564238084,0.0011947439226355086
6827,0.0,0.0,0.6000000000000001,0.8,0.2,0.7000000000000001,0.18506350951994088,0.0011947439226355086
